method	setting	bytes	artifact	retained_parameters	n	nll_nats	accuracy	macro_f1	ece	compression_ratio	delta_nll	accuracy_loss	acceptable	selection_split	selected	test_n	test_nll_nats	test_accuracy	test_macro_f1	test_ece	payload_bytes	seed
pruning	0.95	46272	pruned.95pct.npz	256	604	3.9220431740550317	0.2781456953642384	0.21761658031088082	0.7129749889085972	1.387448132780083	3.909587813771198	0.7201986754966888	False	tune	False						4778	2028
pruning	0.98	45040	pruned.98pct.npz	102	604	5.37543518416477	0.2781456953642384	0.21761658031088082	0.7211166915787411	1.425399644760213	5.362979823880936	0.7201986754966888	False	tune	False						3546	2028
pruning	0.99	44632	pruned.99pct.npz	51	604	7.0258722010086485	0.2781456953642384	0.21761658031088082	0.7217890381114914	1.4384298261337156	7.0134168407248145	0.7201986754966888	False	tune	False						3138	2028
quantization	16.0	54704	quantized.16bit.npz	5121	604	0.009442658726203043	0.9983443708609272	0.9979347250004273	0.008166262368060392	1.1735887686458029	-3.021189779465333e-06	0.0	True	tune	True	1148.0	0.038212476541679086	0.985191637630662	0.9788390079619371	0.009041008221377156	13210	2029
quantization	8.0	49583	quantized.8bit.npz	5121	604	0.05891277705696735	0.9768211920529801	0.9718414918414918	0.03584748940578863	1.2947986204949278	0.049467097140984836	0.021523178807947074	False	tune	False						8089	2029
quantization	6.0	48303	quantized.6bit.npz	5121	604	3.4914281754878242	0.27980132450331124	0.2201871622042757	0.6982388204230973	1.3291099931681263	3.4819824955718417	0.7185430463576159	False	tune	False						6809	2029
quantization	4.0	47023	quantized.4bit.npz	5121	604	5.542360656358579	0.2781456953642384	0.21761658031088082	0.7213912987162711	1.365289326499798	5.532914976442597	0.7201986754966888	False	tune	False						5529	2029
quantization	3.0	46383	quantized.3bit.npz	5121	604	5.542361000344757	0.2781456953642384	0.21761658031088082	0.7213912989369473	1.3841278054459607	5.532915320428774	0.7201986754966888	False	tune	False						4889	2029
quantization	2.0	45743	quantized.2bit.npz	5121	604	5.542361000344757	0.2781456953642384	0.21761658031088082	0.7213912989369473	1.4034934306888485	5.532915320428774	0.7201986754966888	False	tune	False						4249	2029
pruning	0.25	74952	pruned.25pct.npz	3841	604	0.01013581970349591	0.9966887417218543	0.9958770205329839	0.00872750719094076	0.856548190842139	0.000690139787513401	0.0016556291390729116	True	tune	False						33458	2029
pruning	0.5	64704	pruned.50pct.npz	2560	604	0.058865257463991634	0.9768211920529801	0.9718414918414918	0.037510762093852734	0.9922106824925816	0.04941957754800912	0.021523178807947074	False	tune	False						23210	2029
pruning	0.75	54464	pruned.75pct.npz	1280	604	1.049498778477815	0.6208609271523179	0.619273593085509	0.38106985082880784	1.1787602820211516	1.0400530985618324	0.3774834437086093	False	tune	False						12970	2029
pruning	0.9	48320	pruned.90pct.npz	512	604	2.4251490747642594	0.34933774834437087	0.32022302980317363	0.6133238807064127	1.3286423841059603	2.415703394848277	0.6490066225165563	False	tune	False						6826	2029
pruning	0.95	46272	pruned.95pct.npz	256	604	3.0280939223639205	0.2913907284768212	0.23791330597613322	0.6763026105000024	1.387448132780083	3.018648242447938	0.7069536423841061	False	tune	False						4778	2029
pruning	0.98	45040	pruned.98pct.npz	102	604	4.990955940574488	0.2781456953642384	0.21761658031088082	0.7203924645405525	1.425399644760213	4.9815102606585056	0.7201986754966888	False	tune	False						3546	2029
pruning	0.99	44632	pruned.99pct.npz	51	604	5.450897794962116	0.2781456953642384	0.21761658031088082	0.7210826368412475	1.4384298261337156	5.4414521150461335	0.7201986754966888	False	tune	False						3138	2029
quantization	16.0	54704	quantized.16bit.npz	5121	604	0.009807015999487866	0.9950331125827815	0.9937812097812098	0.008267368712175788	1.1735887686458029	-1.7971252234232071e-06	0.0	True	tune	False						13210	2030
quantization	8.0	49583	quantized.8bit.npz	5121	604	0.011815985648353323	0.9950331125827815	0.9938041750012823	0.007381029168287992	1.2947986204949278	0.002007172523642034	0.0	True	tune	True	1148.0	0.03504564379458681	0.9860627177700348	0.9801108801108801	0.0063034960973466095	8089	2030
quantization	6.0	48303	quantized.6bit.npz	5121	604	1.4760623765759997	0.5231788079470199	0.5228439763001975	0.45120557936019134	1.3291099931681263	1.4662535634512883	0.4718543046357616	False	tune	False						6809	2030
quantization	4.0	47023	quantized.4bit.npz	5121	604	5.0567937339858	0.2781456953642384	0.21761658031088082	0.7209469101481764	1.365289326499798	5.046984920861089	0.7168874172185431	False	tune	False						5529	2030
quantization	3.0	46383	quantized.3bit.npz	5121	604	5.0567937339858	0.2781456953642384	0.21761658031088082	0.7209469101481764	1.3841278054459607	5.046984920861089	0.7168874172185431	False	tune	False						4889	2030
quantization	2.0	45743	quantized.2bit.npz	5121	604	5.0567937339858	0.2781456953642384	0.21761658031088082	0.7209469101481764	1.4034934306888485	5.046984920861089	0.7168874172185431	False	tune	False						4249	2030
pruning	0.25	74952	pruned.25pct.npz	3841	604	0.011546118769133352	0.9966887417218543	0.9958618232642267	0.008050772375771488	0.856548190842139	0.0017373056444220623	-0.0016556291390728006	True	tune	False						33458	2030
pruning	0.5	64704	pruned.50pct.npz	2560	604	0.03842237881464099	0.9867549668874173	0.9837424633936261	0.027912311331406203	0.9922106824925816	0.028613565689929697	0.008278145695364225	True	tune	False						23210	2030
pruning	0.75	54464	pruned.75pct.npz	1280	604	0.2533103005115149	0.9105960264900662	0.8977618958059056	0.12727394782090137	1.1787602820211516	0.24350148738680358	0.08443708609271527	False	tune	False						12970	2030
pruning	0.9	48320	pruned.90pct.npz	512	604	2.0935862378879433	0.4105960264900662	0.3978133261639109	0.56017304124017	1.3286423841059603	2.083777424763232	0.5844370860927153	False	tune	False						6826	2030
pruning	0.95	46272	pruned.95pct.npz	256	604	2.822885390207684	0.30629139072847683	0.2600441501103753	0.660674270727014	1.387448132780083	2.8130765770829727	0.6887417218543046	False	tune	False						4778	2030
pruning	0.98	45040	pruned.98pct.npz	102	604	4.826304263433671	0.2781456953642384	0.21761658031088082	0.7190806989240384	1.425399644760213	4.81649545030896	0.7168874172185431	False	tune	False						3546	2030
pruning	0.99	44632	pruned.99pct.npz	51	604	5.7096208751080875	0.2781456953642384	0.21761658031088082	0.7213423390095582	1.4384298261337156	5.699812061983376	0.7168874172185431	False	tune	False						3138	2030
